map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Eyrie of Crows,Dredge,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Mechanics Toolbox (R),Socket Swivels (U),Wire Spool (U),Sealed Envelope (U),1,N
Dead Dawg Saloon,Plague,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Mechanics Toolbox (R),Socket Swivels (U),,Sealed Envelope (U),0,N
Ironworks of Misery,Doctor,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Mechanics Toolbox (R),Socket Swivels (U),,Sealed Envelope (U),0,N
Coal Tower,Huntress,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Flashlight (U),,,Sealed Envelope (U),-1,N
Garden of Joy,Demogorgon,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,Sealed Envelope (U),0,N
Rancid Abattoir,Deathslinger,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,Shiny Coin (V),1,N
Gas Heaven,Trickster,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Mechanics Toolbox (R),Brand New Part (L),Scraps (C),Shroud of Binding (V),0,N
Dead Dawg Saloon,Cannibal,3,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Gauze Roll (U),Self Adherent Wrap (U),White Ward (V),-1,N
Treatment Theatre,Executioner,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Flashlight (U),,,Petrified Oak (V),0,N
The Game,Trapper,2,Y,Saboteur (V),Breakout (V),Borrowed Time (V),Spine Chill (V),Flashlight (U),,,Shroud of Union (U),1,N
Lampkin Lane,Deathslinger,0,N,Saboteur (V),Breakout (V),Borrowed Time (V),Spine Chill (V),Flashlight (U),,,Shroud of Union (U),0,N
The Game,Executioner,4,Y,Saboteur (V),Breakout (V),Borrowed Time (V),Resilience (V),Flashlight (U),,,Shroud of Union (U),1,N
The Game,Executioner,4,Y,Saboteur (V),Breakout (V),Borrowed Time (V),Resilience (V),Flashlight (U),,,Shroud of Union (U),1,N
Treatment Theatre,Spirit,0,N,Saboteur (V),Breakout (V),Borrowed Time (V),Resilience (V),Flashlight (U),,,Shroud of Union (U),0,N
Garden of Joy,Spirit,0,N,Saboteur (V),Breakout (V),Dead Hard (V),Resilience (V),Flashlight (U),,,Shroud of Union (U),-1,N
Garden of Joy,Trapper,4,Y,Decisive Strike (V),Spine Chill (V),Resilience (V),Iron Will (V),Flashlight (U),,,Shroud of Union (U),0,N
Mount Ormond Resort,Twins,0,N,Decisive Strike (V),Spine Chill (V),Resilience (V),Iron Will (V),Flashlight (U),,,Shroud of Union (U),0,N
Mount Ormond Resort,Legion,3,N,Saboteur (V),Breakout (V),Dead Hard (V),Resilience (V),Flashlight (U),,,Shroud of Union (U),-1,N
Gas Heaven,Ghostface,2,N,Dead Hard (V),Spine Chill (V),Resilience (V),Iron Will (V),Flashlight (U),,,Shroud of Union (U),0,N
Disturbed Ward,Clown,2,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Flashlight (U),,,Shroud of Binding (V),0,N
Wreckers Yard,Legion,1,N,Borrowed Time (V),Bond (U),Kindred (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Self Adherent Wrap (U),Bloody Party Streamers (R),0,N
Gas Heaven,Huntress,0,N,Borrowed Time (V),Bond (U),Kindred (V),We're Gonna Live Forever (V),First Aid Kit (U),,,,-1,N
The Game,Cenobite,-1,N,Lithe (V),Spine Chill (V),Resilience (V),Iron Will (V),Flashlight (U),,,,0,N
Mount Ormond Resort,Oni,2,N,Dead Hard (V),Decisive Strike (V),Resilience (V),Iron Will (V),Flashlight (U),,,,0,N
Midwich Elementary School,Huntress,1,Y,Any Means Necessary (V),Dead Hard (V),Resilience (V),Iron Will (V),First Aid Kit (U),,,,1,N
Ironworks of Misery,Huntress,0,N,Any Means Necessary (V),Dead Hard (V),Resilience (V),Iron Will (V),First Aid Kit (U),,,,0,N
The Game,Oni,1,Y,Prove Thyself (V),Bond (V),Borrowed Time (V),Kindred (V),Emergency Med-Kit (R),,,Shroud of Union (U),1,N
Raccoon City Police Station,Shape,4,Y,Prove Thyself (V),Bond (V),Borrowed Time (V),Kindred (V),Flashlight (U),,,Vigo's Shroud (U),1,N
Mother's Dwelling,Plague,3,Y,Prove Thyself (V),Bond (V),Borrowed Time (V),Kindred (V),Flashlight (U),,,Vigo's Shroud (U),0,N
Eyrie of Crows,Cannibal,2,Y,Dead Hard (V),Decisive Strike (V),Borrowed Time (V),Iron Will (V),First Aid Kit (U),,,Crow's Eye (R),2,N
Wreckers Yard,Trapper,4,Y,Dead Hard (V),Decisive Strike (V),Borrowed Time (V),Iron Will (V),First Aid Kit (U),,,,1,N
The Thompson House,Trickster,0,N,Dead Hard (V),Decisive Strike (V),Borrowed Time (V),Iron Will (V),First Aid Kit (U),,,,1,N
Badham Preschool II,Trapper,4,Y,Dead Hard (V),Decisive Strike (V),Borrowed Time (V),Iron Will (V),First Aid Kit (U),,,,1,N
The Thompson House,Ghostface,3,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,,0,N
Family Residence,Huntress,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,,1,N
Wreckers Yard,Legion,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,,0,N
Coal Tower,Artist,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Iron Will (V),First Aid Kit (U),,,,0,N
Lampkin Lane,Wraith,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Iron Will (V),First Aid Kit (U),,,,0,N
Dead Dawg Saloon,Wraith,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Saboteur (V),First Aid Kit (U),,,,1,N
Lampkin Lane,Shape,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Saboteur (V),First Aid Kit (U),,,,1,N
Wreckers Yard,Pig,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Saboteur (V),Flashlight (U),,,,0,N
The Pale Rose,Pig,2,Y,Prove Thyself (V),Bond (V),Borrowed Time (V),Kindred (V),Flashlight (U),,,Vigo's Shroud (U),2,N
Wreckers Yard,Oni,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Saboteur (V),Flashlight (U),,,,1,N
Mount Ormond Resort,Hillbilly,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Saboteur (V),Camping Aid Kit (C),,,,1,N
Badham Preschool V,Onryo,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),,,,2,Y
Mount Ormond Resort,Executioner,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),,,,2,Y
Gas Heaven,Huntress,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),Self Adherent Wrap (U),Bloody Party Streamers (R),1,Y
Ironworks of Misery,Dredge,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),,1,Y
The Temple of Purgation,Cannibal,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),,,1,N
Badham Preschool I,Nightmare,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),,,1,N
Father Campbell's Chapel,Blight,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),,,1,N
Midwich Elementary School,Dredge,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),Gel Dressings (R),Medical Scissors (U),Bloody Party Streamers (R),2,N
Dead Dawg Saloon,Executioner,2,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Alex's Toolbox (V),Wire Spool (U),Hacksaw (R),White Ward (V),0,N
Gas Heaven,Executioner,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Alex's Toolbox (V),Wire Spool (U),Hacksaw (R),White Ward (V),0,N
Midwich Elementary School,Trickster,1,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Alex's Toolbox (V),Wire Spool (U),Hacksaw (R),,0,N
Ironworks of Misery,Huntress,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),,,,1,N
Treatment Theatre,Wraith,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Camping Aid Kit (C),,,,0,N
Coal Tower,Shape,1,Y,Breakout (V),Saboteur (V),Dead Hard (V),Resilience (V),Camping Aid Kit (C),,,Frightful Flan (E),0,N
Rancid Abattoir,Spirit,0,N,Breakout (V),Saboteur (V),Dead Hard (V),Resilience (V),Camping Aid Kit (C),,,Frightful Flan (E),0,N
Grim Pantry,Spirit,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),,,Frightful Flan (E),0,Y
Sanctum of Wrath,Legion,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Gel Dressings (R),,Frightful Flan (E),0,Y
Raccoon City Police Station,Wraith,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Surgical Suture (R),Medical Scissors (U),RPD Badge (R),0,Y
Raccoon City Police Station,Ghostface,3,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Blood Lodge,Spirit,1,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),2,N
Mount Ormond Resort,Spirit,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),0,N
Rotten Fields,Legion,1,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),1,N
Rotten Fields,Legion,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),1,N
The Thompson House,Ghostface,1,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),Self Adherent Wrap (U),Surgical Suture (R),Frightful Flan (E),1,N
The Pale Rose,Huntress,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),Self Adherent Wrap (U),Surgical Suture (R),Frightful Flan (E),0,N
Eyrie of Crows,Demogorgon,1,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),Self Adherent Wrap (U),,Frightful Flan (E),1,N
Fractured Cowshed,Wraith,1,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),Self Adherent Wrap (U),,Frightful Flan (E),1,N
Rotten Fields,Nurse,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Gauze Roll (U),Bandages (C),Frightful Flan (E),1,N
Ironworks of Misery,Dredge,1,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Needle & Thread (U),Bandages (C),Frightful Flan (E),0,N
Badham Preschool I,Nemesis,3,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Ranger Med-Kit (V),Needle & Thread (U),Bandages (C),Frightful Flan (E),0,N
Treatment Theatre,Doctor,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),,,Frightful Flan (E),1,N
Badham Preschool V,Wraith,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Commodious Toolbox (R),,,Frightful Flan (E),0,N
Sanctum of Wrath,Dredge,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Garden of Joy,Huntress,1,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Raccoon City Police Station,Huntress,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Grim Pantry,Clown,2,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Eyrie of Crows,Dredge,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Mount Ormond Resort,Hillbilly,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),We're Gonna Live Forever (V),Masquerade Med-Kit (E),,,Frightful Flan (E),2,N
Father Campbell's Chapel,Wraith,0,N,Open-Handed (V),Bond (V),Kindred (V),Prove Thyself (V),Camping Aid Kit (C),,,Frightful Flan (E),1,N
The Game,Plague,0,N,Open-Handed (V),Bond (V),Kindred (V),Prove Thyself (V),First Aid Kit (U),,,Frightful Flan (E),-1,N
Rancid Abattoir,Dredge,2,Y,Open-Handed (V),Bond (V),Kindred (V),Decisive Strike (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),1,N
Wretched Shop,Nemesis,0,N,Open-Handed (V),Bond (V),Kindred (V),Decisive Strike (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),-1,N
Blood Lodge,Nightmare,0,N,Open-Handed (V),Bond (V),Kindred (V),Decisive Strike (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Frightful Flan (E),1,N
Garden of Joy,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Decisive Strike (V),Flashlight (U),,,,2,N
Azarov's Resting Place,Doctor,0,N,Open-Handed (V),Bond (V),Kindred (V),Decisive Strike (V),Flashlight (U),,,,0,N
Lampkin Lane,Legion,0,N,Open-Handed (V),Bond (V),Kindred (V),Prove Thyself (V),First Aid Kit (U),,,Shroud of Binding (V),0,N
Suffocation Pit,Onryo,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Torment Creek,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),First Aid Kit (U),,,Frightful Flan (E),1,N
The Thompson House,Artist,0,N,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Azarov's Resting Place,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),-1,N
Coal Tower,Executioner,2,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Coal Tower,Shape,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Frightful Flan (E),1,N
Dead Dawg Saloon,Legion,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Frightful Flan (E),2,N
Blood Lodge,Trapper,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Frightful Flan (E),1,N
Family Residence,Deathslinger,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Mount Ormond Resort,Huntress,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Dead Dawg Saloon,Nemesis,1,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Decisive Strike (V),Flashlight (U),,,,-1,N
Lampkin Lane,Wraith,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Family Residence,Ghostface,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Shelter Woods,Legion,2,Y,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
The Thompson House,Nemesis,1,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Ironworks of Misery,Trickster,3,Y,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Lampkin Lane,Hag,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Wretched Shop,Trickster,2,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Ironworks of Misery,Legion,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Dead Dawg Saloon,Cenobite,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Emergency Med-Kit (R),,,Frightful Flan (E),1,N
Blood Lodge,Wraith,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Rotten Fields,Twins,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Mother's Dwelling,Huntress,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Ranger Med-Kit (V),Gauze Roll (U),Gel Dressings (R),Frightful Flan (E),1,Y
Azarov's Resting Place,Legion,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Flashlight (U),,,Frightful Flan (E),-1,N
Sanctum of Wrath,Legion,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Emergency Med-Kit (R),,,Frightful Flan (E),0,N
Family Residence,Shape,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Emergency Med-Kit (R),,,Frightful Flan (E),0,N
The Temple of Purgation,Twins,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Blood Lodge,Oni,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Gas Heaven,Plague,3,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Disturbed Ward,Cannibal,1,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Wreckers Yard,Cannibal,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Family Residence,Oni,2,Y,Spine Chill (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),2,N
Midwich Elementary School,Blight,0,N,Spine Chill (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),-1,N
Midwich Elementary School,Legion,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Midwich Elementary School,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Autodidact (V),First Aid Kit (U),,,Frightful Flan (E),1,N
Suffocation Pit,Nemesis,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Autodidact (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Disturbed Ward,Clown,2,Y,Open-Handed (V),Bond (V),Kindred (V),Autodidact (V),First Aid Kit (U),,,Frightful Flan (E),1,N
The Game,Demogorgon,0,N,Open-Handed (V),Bond (V),Kindred (V),Autodidact (V),First Aid Kit (U),,,Frightful Flan (E),-1,N
Family Residence,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Autodidact (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Family Residence,Nurse,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Autodidact (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
The Temple of Purgation,Huntress,0,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Autodidact (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Mount Ormond Resort,Nightmare,1,N,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),First Aid Kit (U),,,Frightful Flan (E),0,N
Raccoon City Police Station,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Rotten Fields,Clown,4,Y,Borrowed Time (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Wretched Shop,Blight,0,N,Object of Obsession (V),Resilience (V),Lithe (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
The Pale Rose,Huntress,0,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Mount Ormond Resort,Dredge,0,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Lampkin Lane,Plague,0,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),-1,N
Shelter Woods,Ghostface,3,N,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Grim Pantry,Blight,4,Y,Prove Thyself (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,Y
Grim Pantry,Spirit,4,Y,Prove Thyself (V),Dead Hard (V),Decisive Strike (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,Y
The Pale Rose,Legion,4,Y,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,Y
The Thompson House,Ghostface,0,N,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,Y
Groaning Storehouse,Spirit,3,Y,Object of Obsession (V),Resilience (V),Dead Hard (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),2,N
Midwich Elementary School,Huntress,1,Y,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Suffocation Pit,Ghostface,3,N,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Windows of Opportunity (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Grim Pantry,Blight,2,N,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Treatment Theatre,Twins,3,Y,Prove Thyself (V),Dead Hard (V),Borrowed Time (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Midwich Elementary School,Trickster,4,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Grim Pantry,Dredge,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),1,N
Sanctum of Wrath,Artist,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),0,N
Badham Preschool IV,Spirit,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),-1,N
Grim Pantry,Legion,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Masquerade Med-Kit (E),,,Frightful Flan (E),-1,N
Lampkin Lane,Ghostface,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Escape! Cake (U),-1,N
Treatment Theatre,Legion,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Shroud of Binding (V),,N
The Thompson House,Executioner,1,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Shroud of Binding (V),1,N
Eyrie of Crows,Nemesis,1,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Shroud of Binding (V),1,N
Blood Lodge,Nurse,4,Y,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Shroud of Binding (V),2,N
Badham Preschool IV,Hillbilly,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),First Aid Kit (U),,,Shroud of Binding (V),0,N
The Temple of Purgation,Cenobite,0,N,Lithe (V),Borrowed Time (V),Prove Thyself (V),Bond (V),Emergency Med-Kit (R),,,Frightful Flan (E),0,Y
Ironworks of Misery,Deathslinger,2,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Emergency Med-Kit (R),,,Bloody Party Streamers (R),1,Y
Mount Ormond Resort,Ghostface,0,N,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Emergency Med-Kit (R),,,Bloody Party Streamers (R),1,Y
Family Residence,Hag,4,Y,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Broken Key (R),Blood Amber (V),Prayer Beads (U),Fragrant Crispleaf Amaranth (R),0,N
Eyrie of Crows,Pig,0,N,Open-Handed (V),Bond (V),Kindred (V),Borrowed Time (V),Broken Key (R),Blood Amber (V),Prayer Beads (U),Fragrant Crispleaf Amaranth (R),0,N
